"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"ability","n.","A2","能力","She has the ability to speak three languages.","What ability would you like to develop?"
"able","adj.","A2","能够的","I wasn't able to finish my homework.","What are you able to do well?"
"abroad","adv.","A2","在国外","I want to study abroad next year.","Have you ever lived abroad?"
"accept","v.","A2","接受","I accept your invitation to the party.","What is difficult for you to accept?"
"accident","n.","A2","事故","There was a car accident on the highway.","How can people prevent accidents?"
"according to","prep.","A2","根据","According to the weather report, it will rain.","According to you, what is most important in life?"
"achieve","v.","A2","实现；达到","I want to achieve my dreams.","What do you want to achieve this year?"
"act","v.","A2","行动；表演","You need to act quickly in an emergency.","How do you act when you're nervous?"
"active","adj.","A2","积极的；活跃的","My grandfather is still very active.","What activities keep you active?"
"actually","adv.","A2","实际上","I thought it was expensive, but actually it was cheap.","What did you actually do yesterday?"
"adult","adj.","A2","成人的","This movie is for adult audiences only.","What adult responsibilities do you have?"
"advantage","n.","A2","优势；好处","Speaking English well is a big advantage.","What advantages does technology give us?"
"adventure","n.","A2","冒险","Traveling alone was a great adventure.","What adventure would you like to have?"
"advertise","v.","A2","做广告","Companies advertise their products on TV.","How do companies advertise today?"
"advertisement","n.","A2","广告","I saw an interesting advertisement yesterday.","What advertisement do you remember?"
"advertising","n.","A2","广告业","She works in advertising.","How does advertising influence people?"
"affect","v.","A2","影响","The weather can affect your mood.","What factors affect your daily life?"
"after","conj., adv.","A2","在...之后","Call me after you finish work.","What do you do after dinner?"
"against","prep.","A2","反对；靠着","I'm against smoking in public places.","What are you against?"
"ah","exclam.","A2","啊","Ah, I understand now!","When do you say 'ah'?"
"airline","n.","A2","航空公司","Which airline do you prefer?","What services do airlines provide?"
"alive","adj.","A2","活着的","I'm so happy to be alive!","What makes you feel alive?"
"all","adv.","A2","完全地","I'm all ready for the exam.","When do you feel all prepared?"
"all right","adj./adv., exclam.","A2","好的；没问题","Are you feeling all right today?","When do you say 'all right'?"
"allow","v.","A2","允许","My parents don't allow me to stay out late.","What don't your parents allow you to do?"
"almost","adv.","A2","几乎","I almost missed the train.","What have you almost forgotten recently?"
"alone","adj./adv.","A2","独自的","I like spending time alone sometimes.","What do you enjoy doing alone?"
"along","prep., adv.","A2","沿着；一起","Walk along this street and turn left.","Who do you like to walk along with?"
"already","adv.","A2","已经","I've already finished my lunch.","What have you already done today?"
"alternative","n.","A2","选择；替代","What's the alternative to driving to work?","What alternatives do you have for weekend plans?"
"although","conj.","A2","虽然","Although it was raining, we went out.","Complete this: Although I'm tired, I..."
"among","prep.","A2","在...之中","She's popular among her classmates.","What are you known for among your friends?"
"amount","n.","A2","数量","A large amount of people came to the concert.","What amount of sleep do you need?"
"ancient","adj.","A2","古代的","We visited ancient temples in the city.","What ancient buildings have you seen?"
"ankle","n.","A2","脚踝","I hurt my ankle playing basketball.","How do you protect your ankles during sports?"
"any","adv.","A2","任何程度","Are you feeling any better today?","Do you feel any different than yesterday?"
"anybody","pron.","A2","任何人","Does anybody know the answer?","Is there anybody you'd like to meet?"
